Patrick Mahomes, Tyler
Christian McCaffrey, Kalap
Ezekiel Elliott, Brandon
Saquon Barkley, Davis
Alvin Kamara, Lance
Clyde Edwards-Helaire, Taren
Nick Chubb, Blake
Tyreek Hill, Landon
Michael Thomas, Eddie
Davante Adams, David
Joe Mixon, Tyler
Kenyan Drake, Kalap
Amari Cooper, Brandon
Julio Jones, Davis
Travis Kelce, Lance
DeAndre Hopkins, Taren
Chris Carson, Blake
Mike Evans, Landon
Odell Beckham Jr., Eddie
Dalvin Cook, David
Raheem Mostert, Tyler
A.J. Brown, Kalap
Adam Thielen, Brandon
Russell Wilson, Davis
Lamar Jackson, Lance
Deshaun Watson, Taren
JuJu Smith-Schuster, Blake
Leonard Fournette, Landon
Todd Gurley II, Eddie
James Conner, David
Jonathan Taylor, Tyler
Tyler Lockett, Kalap
Le'Veon Bell, Brandon
Melvin Gordon III, Davis
Keenan Allen, Lance
Josh Jacobs, Taren
George Kittle, Blake
Stefon Diggs, Landon
Mark Ingram II, Eddie
Aaron Jones, David
Kenny Golladay, Tyler
Courtland Sutton, Kalap
David Johnson, Brandon
Robert Woods, Davis
Calvin Ridley, Lance
DJ Chark Jr., Taren
Terry McLaurin, Blake
Tom Brady, Landon
D'Andre Swift, Eddie
Josh Allen, David
Kyler Murray, Tyler
Zach Ertz, Kalap
Rob Gronkowski, Brandon
'Matt Ryan, Davis
Cam Akers, Lance
Phillip Lindsay, Taren
Dak Prescott, Blake
Drew Brees, Landon
Aaron Rodgers, Eddie
Carson Wentz, David
DeVante Parker, Tyler
Jarvis Landry, Kalap
Henry Ruggs III, Brandon
Derrick Henry, Davis
David Montgomery, Lance
T.Y. Hilton, Taren
A.J. Green, Blake
Miles Sanders, Landon
Chris Godwin, Eddie
Cooper Kupp, David
DJ Moore, Tyler
Kareem Hunt, Kalap
Joe Burrow, Brandon
Ronald Jones II, Davis
Allen Robinson II, Lance
J.K. Dobbins, Taren
Kerryon Johnson, Blake
CeeDee Lamb, Landon
Austin Ekeler, Eddie
Tyler Boyd, David
Golden Tate, Tyler
Ryan Tannehill, Kalap
Ravens D/ST, Brandon
Julian Edelman, Davis
Darren Waller, Lance
Devin Singletary, Taren
James White, Blake
Evan Engram, Landon
Matthew Stafford, Eddie
Michael Gallup, David
Austin Hooper, Tyler
Teddy Bridgewater, Kalap
Ben Roethlisberger, Brandon
Christian Kirk, Davis
Will Fuller V, Lance
Brandin Cooks, Taren
Jerry Jeudy, Blake
Deebo Samuel, Landon
Hunter Henry, Eddie
Tarik Cohen, David
Jordan Howard, Tyler
Justin Jefferson, Kalap
Mecole Hardman, Brandon
Marlon Mack, Davis
Sony Michel, Lance
Adrian Peterson, Tyler
Matt Breida, Blake
Antonio Gibson, Landon
Diontae Johnson, Eddie
Marvin Jones Jr., David
John Brown, Tyler
Michael Pittman Jr., Kalap
N'Keal Harry, Brandon
Sterling Shepard, Davis
Cam Newton, Lance
DK Metcalf, Taren
Jamison Crowder, Blake
Zack Moss, Landon
Jalen Reagor, Eddie
Emmanuel Sanders, David
Jared Cook, Tyler
Tee Higgins, Kalap
Justin Herbert, Brandon
Tyler Higbee, Davis
Latavius Murray, Lance
Hayden Hurst, Taren
Darrell Henderson Jr., Blake
Baker Mayfield, Landon
Allen Lazard, Eddie
Tevin Coleman, David
Jared Goff, Tyler
Kirk Cousins, Kalap
Darius Slayton, Brandon
Anthony Miller, Davis
Mike Williams, Lance
Brandon Aiyuk, Taren
Daniel Jones, Blake
Jalen Hurts, Landon
AJ Dillon, Eddie
Mike Gesicki, David
Steelers D/ST, Tyler
Patriots D/ST, Kalap
Denzel Mims, Brandon
Sam Darnold, Davis
49ers D/ST, Lance
Marquise Brown, Taren
Tyrell Williams, Blake
O.J. Howard, Landon
Bills D/ST, Eddie
Bears D/ST, David
Noah Fant, Tyler
Tony Pollard, Kalap
Chiefs D/ST, Brandon
Jonnu Smith, Davis
Alexander Mattison, Lance
Bryan Edwards, Taren
Saints D/ST, Blake
KJ Hamler, Landon
Devin Duvernay, Eddie
Mark Andrews, David
Duke Johnson, Tyler
Robby Anderson, Kalap
Sammy Watkins, Brandon
Vikings D/ST, Davis
Drew Lock, Lance
Gardner Minshew II, Taren
Blake Jarwin, Blake
Laviska Shenault Jr., Landon
Darrynton Evans, Eddie
Nyheim Hines, David
